Visit_ID,Store_ID,Visit_Date,Visitor_Count
V0001,S010,2024-03-13,103
V0002,S001,2024-04-07,273
V0003,S007,2024-06-15,153
V0004,S002,2024-01-23,252
V0005,S004,2024-02-02,147
V0006,S002,2024-04-26,280
V0007,S002,2024-02-08,184
V0008,S004,2024-03-02,187
V0009,S008,2024-03-14,154
V0010,S004,2024-04-30,84
V0011,S010,2024-04-19,114
V0012,S004,2024-03-20,142
V0013,S003,2024-06-03,61
V0014,S008,2024-06-21,284
V0015,S002,2024-05-16,84
V0016,S010,2024-07-16,273
V0017,S004,2024-05-23,200
V0018,S003,2024-05-03,268
V0019,S009,2024-02-06,227
V0020,S001,2024-07-02,181
V0021,S005,2024-01-16,177
V0022,S001,2024-03-24,276
V0023,S008,2024-04-10,240
V0024,S006,2024-02-08,91
V0025,S010,2024-01-20,156
V0026,S004,2024-04-03,279
V0027,S004,2024-06-28,97
V0028,S006,2024-07-16,196
V0029,S001,2024-04-13,242
V0030,S009,2024-04-15,256
V0031,S009,2024-07-18,247
V0032,S004,2024-03-03,279
V0033,S010,2024-04-19,275
V0034,S004,2024-03-16,136
V0035,S007,2024-07-13,224
V0036,S005,2024-04-01,76
V0037,S001,2024-02-04,52
V0038,S005,2024-04-02,130
V0039,S009,2024-06-07,181
V0040,S001,2024-01-27,218
V0041,S001,2024-06-21,114
V0042,S003,2024-05-21,88
V0043,S004,2024-01-21,158
V0044,S009,2024-05-11,80
V0045,S009,2024-04-19,73
V0046,S003,2024-01-15,229
V0047,S009,2024-04-03,201
V0048,S009,2024-04-27,170
V0049,S010,2024-06-26,275
V0050,S010,2024-05-15,153
V0051,S006,2024-06-01,96
V0052,S006,2024-02-03,213
V0053,S008,2024-06-07,99
V0054,S004,2024-07-08,281
V0055,S003,2024-04-02,137
V0056,S007,2024-01-23,295
V0057,S007,2024-06-18,131
V0058,S006,2024-06-20,185
V0059,S006,2024-04-29,84
V0060,S005,2024-04-18,95
V0061,S001,2024-06-10,153
V0062,S002,2024-04-14,204
V0063,S010,2024-04-07,156
V0064,S002,2024-01-03,149
V0065,S006,2024-04-06,114
V0066,S005,2024-05-09,67
V0067,S007,2024-04-26,142
V0068,S002,2024-02-12,97
V0069,S001,2024-01-05,76
V0070,S006,2024-02-27,56
V0071,S007,2024-02-29,148
V0072,S002,2024-01-15,117
V0073,S004,2024-03-06,172
V0074,S001,2024-04-14,237
V0075,S007,2024-02-06,52
V0076,S001,2024-03-05,76
V0077,S001,2024-01-28,208
V0078,S002,2024-01-05,85
V0079,S007,2024-01-24,141
V0080,S010,2024-02-27,260
V0081,S009,2024-01-10,294
V0082,S002,2024-01-11,129
V0083,S009,2024-04-23,146
V0084,S006,2024-07-10,297
V0085,S003,2024-03-28,55
V0086,S007,2024-04-30,81
V0087,S007,2024-05-22,178
V0088,S010,2024-03-30,70
V0089,S008,2024-01-11,171
V0090,S001,2024-04-12,54
V0091,S009,2024-02-26,95
V0092,S005,2024-03-28,162
V0093,S001,2024-01-16,162
V0094,S001,2024-01-09,189
V0095,S004,2024-06-29,225
V0096,S010,2024-06-09,133
V0097,S004,2024-03-06,201
V0098,S009,2024-03-17,55
V0099,S003,2024-02-07,292
V0100,S004,2024-06-14,251
V0101,S007,2024-01-09,221
V0102,S006,2024-01-22,141
V0103,S005,2024-01-15,60
V0104,S001,2024-02-07,84
V0105,S010,2024-03-01,138
V0106,S009,2024-06-30,214
V0107,S004,2024-07-04,207
V0108,S005,2024-02-14,141
V0109,S005,2024-01-11,151
V0110,S004,2024-02-21,73
V0111,S005,2024-05-29,291
V0112,S010,2024-01-14,295
V0113,S009,2024-03-27,237
V0114,S007,2024-07-10,280
V0115,S003,2024-03-14,260
V0116,S003,2024-06-24,271
V0117,S008,2024-03-21,117
V0118,S004,2024-03-11,149
V0119,S010,2024-06-11,101
V0120,S006,2024-01-05,260
V0121,S006,2024-05-09,53
V0122,S009,2024-03-11,131
V0123,S009,2024-01-15,74
V0124,S006,2024-07-01,65
V0125,S002,2024-06-04,147
V0126,S004,2024-06-20,279
V0127,S005,2024-04-07,127
V0128,S003,2024-04-05,234
V0129,S008,2024-02-16,121
V0130,S007,2024-03-18,226
V0131,S010,2024-01-12,264
V0132,S003,2024-01-31,220
V0133,S001,2024-02-04,297
V0134,S002,2024-03-31,264
V0135,S001,2024-03-30,226
V0136,S005,2024-03-20,213
V0137,S006,2024-01-23,250
V0138,S002,2024-02-19,86
V0139,S010,2024-05-19,130
V0140,S008,2024-02-20,283
V0141,S008,2024-01-20,50
V0142,S008,2024-02-28,131
V0143,S002,2024-07-08,264
V0144,S002,2024-01-19,252
V0145,S006,2024-04-03,183
V0146,S001,2024-03-16,162
V0147,S009,2024-04-26,112
V0148,S010,2024-04-27,168
V0149,S003,2024-07-08,299
V0150,S009,2024-07-18,286
V0151,S004,2024-07-05,245
V0152,S002,2024-03-12,233
V0153,S002,2024-05-30,263
V0154,S009,2024-01-28,57
V0155,S007,2024-01-27,280
V0156,S004,2024-03-28,203
V0157,S003,2024-05-07,175
V0158,S005,2024-02-17,83
V0159,S007,2024-01-13,51
V0160,S003,2024-04-24,187
V0161,S005,2024-06-15,125
V0162,S002,2024-01-19,238
V0163,S006,2024-05-16,154
V0164,S010,2024-02-28,97
V0165,S010,2024-06-14,165
V0166,S004,2024-05-02,246
V0167,S001,2024-06-06,87
